Date,Value
2018-04-30,2.88
2018-03-31,2.89
2018-02-28,2.9
2018-01-31,2.92
2017-12-31,2.94
2017-11-30,2.82
2017-10-31,2.84
2017-09-30,2.84
2017-08-31,2.83
2017-07-31,2.88
2017-06-30,3.31
2017-05-31,3.42
2017-04-30,3.45
2017-03-31,3.52
2017-02-28,3.6
2017-01-31,3.7
2016-12-31,3.66
2016-11-30,3.58
2016-10-31,3.63
2016-09-30,3.62
2016-08-31,3.7
2016-07-31,3.67
2016-06-30,3.73
2016-05-31,3.75
2016-04-30,3.77
2016-03-31,3.62
2016-02-29,3.68
2016-01-31,3.71
2015-12-31,3.67
2015-11-30,3.75
2015-10-31,3.79
2015-09-30,3.58
2015-08-31,3.58
2015-07-31,3.67
2015-06-30,3.69
2015-05-31,3.75
2015-04-30,3.78
2015-03-31,3.77
2015-02-28,3.86
2015-01-31,3.97
2014-12-31,3.93
2014-11-30,4.04
2014-10-31,4.07
2014-09-30,3.99
2014-08-31,3.95
2014-07-31,3.94
2014-06-30,4.0
2014-05-31,4.17
2014-04-30,4.25
2014-03-31,4.16
2014-02-28,4.09
2014-01-31,4.11
2013-12-31,4.01
2013-11-30,4.08
2013-10-31,4.12
2013-09-30,4.15
2013-08-31,4.05
2013-07-31,4.09
2013-06-30,4.11
2013-05-31,4.18
2013-04-30,4.12
2013-03-31,4.1
2013-02-28,4.03
2013-01-31,4.05
2012-12-31,3.96
2012-11-30,4.06
2012-10-31,4.08
2012-09-30,4.17
2012-08-31,4.19
2012-07-31,4.12
2012-06-30,3.94
2012-05-31,3.98
2012-04-30,3.99
2012-03-31,4.0
2012-02-29,3.99
2012-01-31,4.06
2011-12-31,4.01
2011-11-30,4.04
2011-10-31,4.05
2011-09-30,4.07
2011-08-31,4.12
2011-07-31,4.15
2011-06-30,4.07
2011-05-31,4.2
2011-04-30,4.18
2011-03-31,4.28
2011-02-28,4.59
2011-01-31,4.64
2010-12-31,4.51
2010-11-30,4.52
2010-10-31,4.49
2010-09-30,4.5
2010-08-31,4.45
2010-07-31,4.42
2010-06-30,4.48
2010-05-31,4.4
2010-04-30,4.39
2010-03-31,4.65
2010-02-28,4.6
2010-01-31,4.66
2009-12-31,4.59
2009-11-30,4.59
2009-10-31,4.62
2009-09-30,4.57
2009-08-31,4.51
2009-07-31,4.66
2009-06-30,4.87
2009-05-31,5.02
2009-04-30,5.04
2009-03-31,5.03
2009-02-28,5.12
2009-01-31,5.18
2008-12-31,5.12
2008-11-30,5.19
2008-10-31,5.2
2008-09-30,5.16
2008-08-31,5.12
2008-07-31,5.22
2008-06-30,5.05
2008-05-31,4.94
2008-04-30,4.91
2008-03-31,5.73
2008-02-29,5.71
2008-01-31,5.82
2007-12-31,5.79
2007-11-30,5.68
2007-10-31,5.71
2007-09-30,5.7
2007-08-31,5.68
2007-07-31,5.68
2007-06-30,5.64
2007-05-31,5.71
2007-04-30,5.8
2007-03-31,6.06
2007-02-28,6.17
2007-01-31,6.35
2006-12-31,6.37
2006-11-30,6.49
2006-10-31,6.38
2006-09-30,6.4
2006-08-31,6.5
2006-07-31,6.63
2006-06-30,6.69
2006-05-31,6.7
2006-04-30,6.6
2006-03-31,6.59
2006-02-28,6.74
2006-01-31,6.94
2005-12-31,7.04
2005-11-30,8.14
2005-10-31,8.24
2005-09-30,8.28
2005-08-31,8.41
2005-07-31,8.45
2005-06-30,9.11
2005-05-31,9.39
2005-04-30,9.46
2005-03-31,9.4
2005-02-28,9.56
2005-01-31,9.68
2004-12-31,9.92
2004-11-30,10.13
2004-10-31,10.04
2004-09-30,10.05
2004-08-31,10.05
2004-07-31,9.81
2004-06-30,9.79
2004-05-31,9.58
2004-04-30,8.92
2004-03-31,8.72
2004-02-29,8.68
2004-01-31,8.64
2003-12-31,8.75
2003-11-30,8.36
2003-10-31,8.34
2003-09-30,8.31
2003-08-31,8.15
2003-07-31,8.08
2003-06-30,8.4
2003-05-31,8.57
2003-04-30,8.61
2003-03-31,8.36
2003-02-28,8.13
2003-01-31,7.88
2002-12-31,7.93
2002-11-30,7.86
2002-10-31,6.38
2002-09-30,5.51
2002-08-31,5.56
2002-07-31,4.88
2002-06-30,4.91
2002-05-31,4.88
2002-04-30,4.78
2002-03-31,4.48
2002-02-28,4.43
2002-01-31,3.87
2001-12-31,3.98
2001-11-30,3.88
2001-10-31,3.7
2001-09-30,3.59
2001-08-31,3.6
2001-07-31,3.48
2001-06-30,3.68
2001-05-31,3.51
2001-04-30,3.23
2001-03-31,3.06
2001-02-28,3.01
2001-01-31,2.53
2000-12-31,1.57
2000-11-30,1.52
2000-10-31,1.44
2000-09-30,1.35
2000-08-31,1.26
2000-07-31,1.11
2000-06-30,1.03
2000-05-31,1.04
2000-04-30,1.07
2000-03-31,0.75
2000-02-29,0.53
2000-01-31,0.32
