MES,PRODUTO,NUMERO_DE_POSTOS_PESQUISADOS,UNIDADE_DE_MEDIDA,PRECO_MEDIO_REVENDA,DESVIO_PADRAO_REVENDA,PRECO_MINIMO_REVENDA,PRECO_MAXIMO_REVENDA,MARGEM_MEDIA_REVENDA,COEF_DE_VARIACAO_REVENDA,PRECO_MEDIO_DISTRIBUICAO,DESVIO_PADRAO_DISTRIBUICAO,PRECO_MINIMO_DISTRIBUICAO,PRECO_MAXIMO_DISTRIBUICAO,COEF_DE_VARIACAO_DISTRIBUICAO
2001-07-31,ETANOL_HIDRATADO,17899,R$/l,1.009,0.165,0.639,1.580,0.193,0.163,0.816,0.156,0.318,1.578,0.192
2001-08-31,ETANOL_HIDRATADO,28796,R$/l,1.014,0.173,0.649,1.650,0.208,0.171,0.806,0.155,0.400,1.342,0.193
2001-09-30,ETANOL_HIDRATADO,32994,R$/l,1.027,0.173,0.630,1.790,0.218,0.168,0.809,0.157,0.380,1.421,0.194
2001-10-31,ETANOL_HIDRATADO,42036,R$/l,1.039,0.166,0.650,1.880,0.224,0.160,0.816,0.150,0.400,1.337,0.184
2001-11-30,ETANOL_HIDRATADO,34592,R$/l,1.033,0.167,0.670,1.880,0.217,0.162,0.815,0.149,0.410,1.287,0.183
2001-12-31,ETANOL_HIDRATADO,38506,R$/l,1.029,0.166,0.670,1.880,0.213,0.161,0.816,0.147,0.400,1.338,0.181
2002-01-31,ETANOL_HIDRATADO,41454,R$/l,1.019,0.164,0.600,1.880,0.206,0.161,0.813,0.142,0.410,1.338,0.175
2002-02-28,ETANOL_HIDRATADO,36490,R$/l,1.010,0.162,0.679,1.880,0.201,0.160,0.809,0.142,0.410,1.300,0.176
2002-03-31,ETANOL_HIDRATADO,36486,R$/l,1.010,0.162,0.659,1.700,0.205,0.160,0.805,0.145,0.410,1.310,0.180
2002-04-30,ETANOL_HIDRATADO,45003,R$/l,1.010,0.158,0.659,1.700,0.208,0.157,0.801,0.142,0.320,1.310,0.177
2002-05-31,ETANOL_HIDRATADO,46918,R$/l,1.002,0.158,0.659,1.700,0.208,0.158,0.793,0.143,0.410,1.298,0.180
2002-06-30,ETANOL_HIDRATADO,36794,R$/l,0.991,0.166,0.537,1.700,0.214,0.167,0.777,0.157,0.387,1.385,0.202
2002-07-31,ETANOL_HIDRATADO,54610,R$/l,0.940,0.190,0.500,1.700,0.223,0.202,0.717,0.176,0.367,1.330,0.246
2002-08-31,ETANOL_HIDRATADO,44339,R$/l,0.912,0.181,0.539,1.700,0.223,0.199,0.689,0.156,0.377,1.330,0.227
2002-09-30,ETANOL_HIDRATADO,37893,R$/l,0.935,0.161,0.589,1.700,0.215,0.172,0.720,0.139,0.364,1.336,0.192
2002-10-31,ETANOL_HIDRATADO,39232,R$/l,1.014,0.140,0.649,1.700,0.209,0.138,0.804,0.125,0.379,1.336,0.156
2002-11-30,ETANOL_HIDRATADO,34131,R$/l,1.298,0.167,0.830,1.870,0.315,0.129,0.984,0.170,0.475,1.628,0.173
2002-12-31,ETANOL_HIDRATADO,42188,R$/l,1.313,0.169,0.799,1.970,0.250,0.129,1.064,0.165,0.490,1.879,0.156
2003-01-31,ETANOL_HIDRATADO,34542,R$/l,1.386,0.151,0.939,1.984,0.248,0.109,1.138,0.144,0.442,1.697,0.127
2003-02-28,ETANOL_HIDRATADO,34029,R$/l,1.569,0.181,1.099,2.490,0.312,0.116,1.257,0.171,0.505,1.987,0.136
2003-03-31,ETANOL_HIDRATADO,36919,R$/l,1.586,0.195,1.130,2.600,0.271,0.123,1.314,0.195,0.550,2.180,0.149
2003-04-30,ETANOL_HIDRATADO,39413,R$/l,1.562,0.215,1.087,2.600,0.254,0.138,1.308,0.209,0.695,2.527,0.159
2003-05-31,ETANOL_HIDRATADO,33844,R$/l,1.506,0.232,0.899,2.600,0.236,0.154,1.270,0.223,0.732,2.527,0.175
2003-06-30,ETANOL_HIDRATADO,37652,R$/l,1.348,0.299,0.690,2.600,0.234,0.222,1.114,0.288,0.487,2.526,0.258
2003-07-31,ETANOL_HIDRATADO,39130,R$/l,1.203,0.298,0.679,2.550,0.270,0.248,0.933,0.273,0.373,2.526,0.293
2003-08-31,ETANOL_HIDRATADO,33552,R$/l,1.208,0.252,0.720,2.550,0.288,0.208,0.920,0.215,0.431,2.180,0.233
2003-09-30,ETANOL_HIDRATADO,40369,R$/l,1.233,0.243,0.729,2.400,0.274,0.197,0.959,0.204,0.468,2.034,0.213
2003-10-31,ETANOL_HIDRATADO,35025,R$/l,1.201,0.253,0.690,2.400,0.288,0.211,0.913,0.211,0.404,1.870,0.231
2003-11-30,ETANOL_HIDRATADO,33409,R$/l,1.176,0.246,0.690,2.400,0.294,0.210,0.882,0.187,0.412,1.870,0.212
2003-12-31,ETANOL_HIDRATADO,41598,R$/l,1.191,0.229,0.749,2.400,0.280,0.192,0.911,0.166,0.483,1.870,0.183
2004-01-31,ETANOL_HIDRATADO,33157,R$/l,1.205,0.229,0.730,2.400,0.267,0.190,0.938,0.172,0.555,1.770,0.183
2004-02-29,ETANOL_HIDRATADO,33194,R$/l,1.170,0.257,0.559,2.400,0.289,0.220,0.882,0.219,0.339,1.941,0.248
2004-03-31,ETANOL_HIDRATADO,41415,R$/l,1.055,0.293,0.499,2.400,0.310,0.278,0.744,0.236,0.278,1.979,0.317
2004-04-30,ETANOL_HIDRATADO,33285,R$/l,1.032,0.263,0.559,2.400,0.302,0.255,0.730,0.198,0.297,1.891,0.272
2004-05-31,ETANOL_HIDRATADO,40002,R$/l,1.289,0.257,0.590,2.400,0.381,0.199,0.908,0.186,0.326,1.891,0.205
2004-06-30,ETANOL_HIDRATADO,52287,R$/l,1.359,0.237,0.669,2.400,0.379,0.174,0.980,0.183,0.340,1.871,0.187
2004-07-31,ETANOL_HIDRATADO,46315,R$/l,1.381,0.234,0.699,2.400,0.366,0.169,1.015,0.185,0.380,1.847,0.182
2004-08-31,ETANOL_HIDRATADO,55852,R$/l,1.462,0.225,0.690,2.320,0.350,0.154,1.112,0.188,0.379,1.850,0.169
2004-09-30,ETANOL_HIDRATADO,48033,R$/l,1.487,0.233,0.810,2.250,0.333,0.157,1.154,0.197,0.436,1.897,0.171
2004-10-31,ETANOL_HIDRATADO,46140,R$/l,1.534,0.211,0.869,2.484,0.334,0.138,1.200,0.185,0.436,1.878,0.154
2004-11-30,ETANOL_HIDRATADO,54839,R$/l,1.445,0.219,0.990,2.372,0.269,0.152,1.176,0.190,0.466,2.085,0.162
2004-12-31,ETANOL_HIDRATADO,48415,R$/l,1.478,0.242,1.050,2.372,0.277,0.164,1.201,0.222,0.466,1.993,0.185
2005-01-31,ETANOL_HIDRATADO,53931,R$/l,1.460,0.248,0.979,2.372,0.272,0.170,1.188,0.229,0.741,2.027,0.193
2005-02-28,ETANOL_HIDRATADO,43138,R$/l,1.448,0.254,0.990,2.372,0.206,0.175,1.242,0.237,0.480,2.088,0.191
2005-03-31,ETANOL_HIDRATADO,52519,R$/l,1.444,0.250,0.990,2.372,0.207,0.173,1.237,0.230,0.480,2.005,0.186
2005-04-30,ETANOL_HIDRATADO,45994,R$/l,1.451,0.259,0.999,2.372,0.207,0.178,1.244,0.235,0.480,1.966,0.189
2005-05-31,ETANOL_HIDRATADO,54816,R$/l,1.354,0.299,0.760,2.385,0.224,0.221,1.130,0.291,0.600,1.995,0.258
2005-06-30,ETANOL_HIDRATADO,48750,R$/l,1.210,0.328,0.759,2.385,0.208,0.271,1.002,0.288,0.512,1.975,0.287
2005-07-31,ETANOL_HIDRATADO,46050,R$/l,1.256,0.292,0.820,2.385,0.208,0.232,1.048,0.254,0.587,1.985,0.242
2005-08-31,ETANOL_HIDRATADO,29697,R$/l,1.271,0.286,0.799,2.385,0.211,0.225,1.060,0.249,0.557,1.991,0.235
2005-09-30,ETANOL_HIDRATADO,29556,R$/l,1.308,0.259,0.870,2.399,0.264,0.198,1.044,0.214,0.506,1.890,0.205
2005-10-31,ETANOL_HIDRATADO,40650,R$/l,1.434,0.223,0.949,2.372,0.229,0.156,1.205,0.197,0.701,1.979,0.163
2005-11-30,ETANOL_HIDRATADO,52504,R$/l,1.450,0.234,1.090,2.410,0.193,0.161,1.257,0.208,0.830,2.067,0.165
2005-12-31,ETANOL_HIDRATADO,45823,R$/l,1.536,0.226,1.089,2.550,0.199,0.147,1.337,0.197,0.820,2.166,0.147
2006-01-31,ETANOL_HIDRATADO,52997,R$/l,1.693,0.231,1.149,2.620,0.208,0.136,1.485,0.200,0.990,2.190,0.135
2006-02-28,ETANOL_HIDRATADO,39296,R$/l,1.732,0.238,1.290,2.650,0.199,0.137,1.533,0.215,1.050,2.211,0.140
2006-03-31,ETANOL_HIDRATADO,51989,R$/l,1.950,0.243,1.399,2.910,0.249,0.125,1.701,0.212,1.145,2.692,0.125
2006-04-30,ETANOL_HIDRATADO,43394,R$/l,1.943,0.283,1.290,3.150,0.223,0.146,1.720,0.267,1.099,2.952,0.155
2006-05-31,ETANOL_HIDRATADO,51907,R$/l,1.710,0.356,1.089,3.150,0.230,0.208,1.480,0.357,0.900,2.925,0.241
2006-06-30,ETANOL_HIDRATADO,45614,R$/l,1.555,0.339,1.089,2.840,0.220,0.218,1.335,0.313,0.875,2.692,0.234
2006-07-31,ETANOL_HIDRATADO,46215,R$/l,1.571,0.306,1.080,2.800,0.222,0.195,1.349,0.272,0.899,2.321,0.202
2006-08-31,ETANOL_HIDRATADO,53363,R$/l,1.576,0.298,1.060,3.150,0.225,0.189,1.351,0.275,0.842,2.312,0.204
2006-09-30,ETANOL_HIDRATADO,44288,R$/l,1.515,0.320,0.979,2.800,0.248,0.211,1.267,0.298,0.830,2.300,0.235
2006-10-31,ETANOL_HIDRATADO,44121,R$/l,1.466,0.320,0.979,2.800,0.250,0.218,1.216,0.283,0.800,2.287,0.233
2006-11-30,ETANOL_HIDRATADO,43874,R$/l,1.448,0.306,0.990,2.890,0.242,0.211,1.206,0.257,0.800,2.220,0.213
2006-12-31,ETANOL_HIDRATADO,39867,R$/l,1.448,0.290,0.999,2.800,0.238,0.200,1.210,0.239,0.868,2.235,0.198
2007-01-31,ETANOL_HIDRATADO,53047,R$/l,1.544,0.237,1.090,2.800,0.235,0.153,1.309,0.206,0.899,2.305,0.157
2007-02-28,ETANOL_HIDRATADO,46286,R$/l,1.545,0.241,1.129,2.800,0.240,0.156,1.305,0.221,0.820,2.305,0.169
2007-03-31,ETANOL_HIDRATADO,46214,R$/l,1.540,0.240,1.099,2.800,0.234,0.156,1.306,0.215,0.970,2.306,0.165
2007-04-30,ETANOL_HIDRATADO,46002,R$/l,1.630,0.224,1.159,2.780,0.217,0.137,1.413,0.193,1.119,2.311,0.137
2007-05-31,ETANOL_HIDRATADO,57160,R$/l,1.626,0.239,1.090,2.780,0.255,0.147,1.371,0.248,0.740,2.311,0.181
2007-06-30,ETANOL_HIDRATADO,45800,R$/l,1.463,0.278,0.850,2.780,0.321,0.190,1.142,0.299,0.689,2.314,0.262
2007-07-31,ETANOL_HIDRATADO,54071,R$/l,1.351,0.289,0.850,2.780,0.297,0.214,1.054,0.272,0.685,2.314,0.258
2007-08-31,ETANOL_HIDRATADO,38968,R$/l,1.305,0.297,0.850,2.800,0.273,0.228,1.032,0.255,0.690,2.050,0.247
2007-09-30,ETANOL_HIDRATADO,32415,R$/l,1.279,0.297,0.829,2.800,0.265,0.232,1.014,0.246,0.618,2.032,0.243
2007-10-31,ETANOL_HIDRATADO,40758,R$/l,1.268,0.289,0.840,2.890,0.264,0.228,1.004,0.236,0.685,2.032,0.235
2007-11-30,ETANOL_HIDRATADO,32534,R$/l,1.360,0.253,0.870,2.800,0.252,0.186,1.108,0.195,0.753,2.113,0.176
2007-12-31,ETANOL_HIDRATADO,35608,R$/l,1.467,0.238,1.059,2.780,0.257,0.162,1.210,0.203,0.674,2.113,0.168
2008-01-31,ETANOL_HIDRATADO,37812,R$/l,1.464,0.241,0.989,2.780,0.259,0.165,1.205,0.216,0.839,2.261,0.179
2008-02-28,ETANOL_HIDRATADO,32688,R$/l,1.420,0.257,0.949,2.780,0.261,0.181,1.159,0.225,0.799,2.261,0.194
2008-03-31,ETANOL_HIDRATADO,32757,R$/l,1.439,0.244,0.979,2.780,0.245,0.170,1.194,0.206,0.890,2.261,0.173
2008-04-30,ETANOL_HIDRATADO,41092,R$/l,1.437,0.246,1.010,2.780,0.241,0.171,1.196,0.214,0.830,2.261,0.179
2008-05-31,ETANOL_HIDRATADO,33092,R$/l,1.441,0.248,0.979,2.800,0.249,0.172,1.192,0.221,0.800,2.261,0.185
2008-06-30,ETANOL_HIDRATADO,33280,R$/l,1.414,0.266,0.889,2.780,0.278,0.188,1.136,0.249,0.759,2.261,0.219
2008-07-31,ETANOL_HIDRATADO,41613,R$/l,1.423,0.276,0.960,2.780,0.249,0.194,1.174,0.248,0.850,2.404,0.211
2008-08-31,ETANOL_HIDRATADO,33237,R$/l,1.428,0.284,0.929,2.780,0.247,0.199,1.181,0.266,0.825,2.332,0.225
2008-09-30,ETANOL_HIDRATADO,33414,R$/l,1.449,0.269,0.990,2.780,0.245,0.186,1.204,0.254,0.880,2.332,0.211
2008-10-31,ETANOL_HIDRATADO,41807,R$/l,1.471,0.249,1.000,2.850,0.247,0.169,1.224,0.230,0.790,2.398,0.188
2008-11-30,ETANOL_HIDRATADO,33405,R$/l,1.478,0.245,1.040,2.850,0.280,0.166,1.198,0.227,0.797,2.398,0.189
2008-12-31,ETANOL_HIDRATADO,41874,R$/l,1.476,0.243,1.050,2.850,0.265,0.165,1.211,0.210,0.711,2.398,0.173
2009-01-31,ETANOL_HIDRATADO,33436,R$/l,1.477,0.237,1.050,2.850,0.252,0.160,1.225,0.197,0.711,2.345,0.161
2009-02-28,ETANOL_HIDRATADO,33505,R$/l,1.499,0.227,1.129,2.850,0.240,0.151,1.259,0.199,0.860,2.033,0.158
2009-03-31,ETANOL_HIDRATADO,39370,R$/l,1.478,0.242,0.949,2.850,0.273,0.164,1.205,0.237,0.720,2.322,0.197
2009-04-30,ETANOL_HIDRATADO,36209,R$/l,1.425,0.257,0.879,2.850,0.307,0.180,1.118,0.248,0.680,2.322,0.222
2009-05-31,ETANOL_HIDRATADO,33661,R$/l,1.388,0.271,0.850,2.850,0.300,0.195,1.088,0.250,0.669,2.391,0.230
2009-06-30,ETANOL_HIDRATADO,38734,R$/l,1.340,0.288,0.829,2.850,0.284,0.215,1.056,0.255,0.680,2.391,0.241
2009-07-31,ETANOL_HIDRATADO,37042,R$/l,1.374,0.265,0.869,2.850,0.256,0.193,1.118,0.236,0.699,2.389,0.211
2009-08-31,ETANOL_HIDRATADO,17631,R$/l,1.400,0.256,0.920,2.850,0.245,0.183,1.155,0.232,0.699,2.389,0.201
2009-09-30,ETANOL_HIDRATADO,17921,R$/l,1.447,0.224,0.990,2.850,0.231,0.155,1.216,0.205,0.750,2.387,0.169
2009-10-31,ETANOL_HIDRATADO,25424,R$/l,1.616,0.201,1.099,2.880,0.253,0.124,1.363,0.193,0.770,2.422,0.142
2009-11-30,ETANOL_HIDRATADO,30236,R$/l,1.675,0.198,1.239,2.990,0.249,0.118,1.426,0.193,0.748,2.391,0.135
2009-12-31,ETANOL_HIDRATADO,34116,R$/l,1.703,0.190,1.149,2.990,0.253,0.112,1.450,0.191,0.750,2.391,0.132
2010-01-31,ETANOL_HIDRATADO,29971,R$/l,1.890,0.182,1.229,2.840,0.265,0.096,1.625,0.178,0.850,2.459,0.110
2010-02-28,ETANOL_HIDRATADO,31421,R$/l,1.943,0.205,1.169,2.990,0.259,0.106,1.684,0.196,1.020,2.450,0.116
2010-03-31,ETANOL_HIDRATADO,40918,R$/l,1.763,0.283,1.159,2.990,0.287,0.161,1.476,0.292,0.779,2.368,0.198
2010-04-30,ETANOL_HIDRATADO,33225,R$/l,1.629,0.269,1.130,2.990,0.289,0.165,1.340,0.253,0.748,2.288,0.189
2010-05-31,ETANOL_HIDRATADO,34680,R$/l,1.545,0.289,0.959,2.990,0.288,0.187,1.257,0.262,0.800,2.375,0.208
2010-06-30,ETANOL_HIDRATADO,39938,R$/l,1.475,0.300,0.960,2.840,0.272,0.203,1.203,0.260,0.779,2.194,0.216
2010-07-31,ETANOL_HIDRATADO,33401,R$/l,1.501,0.272,0.989,2.790,0.263,0.181,1.238,0.235,0.792,2.269,0.190
2010-08-31,ETANOL_HIDRATADO,39452,R$/l,1.549,0.245,1.079,2.790,0.258,0.158,1.291,0.218,0.800,2.111,0.169
2010-09-30,ETANOL_HIDRATADO,35782,R$/l,1.566,0.237,1.099,2.790,0.248,0.151,1.318,0.216,0.800,2.030,0.164
2010-10-31,ETANOL_HIDRATADO,33479,R$/l,1.673,0.209,1.199,2.790,0.254,0.125,1.419,0.201,0.800,2.111,0.142
2010-11-30,ETANOL_HIDRATADO,41036,R$/l,1.721,0.200,1.219,2.790,0.249,0.116,1.472,0.196,0.820,2.154,0.133
2010-12-31,ETANOL_HIDRATADO,34274,R$/l,1.778,0.183,1.299,2.790,0.244,0.103,1.534,0.182,0.820,2.208,0.119
2011-01-31,ETANOL_HIDRATADO,37173,R$/l,1.835,0.175,1.270,2.790,0.242,0.095,1.593,0.179,0.820,2.296,0.112
2011-02-28,ETANOL_HIDRATADO,29498,R$/l,1.872,0.177,1.399,2.790,0.237,0.095,1.635,0.179,0.820,2.296,0.109
2011-03-31,ETANOL_HIDRATADO,41873,R$/l,2.083,0.207,1.499,3.000,0.277,0.099,1.806,0.180,0.820,2.518,0.100
2011-04-30,ETANOL_HIDRATADO,33388,R$/l,2.301,0.245,1.650,3.250,0.314,0.106,1.987,0.194,1.097,2.870,0.098
2011-05-31,ETANOL_HIDRATADO,39243,R$/l,2.032,0.325,1.370,3.200,0.285,0.160,1.747,0.301,1.000,2.936,0.172
2011-06-30,ETANOL_HIDRATADO,35831,R$/l,1.859,0.278,1.329,3.100,0.263,0.150,1.596,0.242,1.115,2.585,0.152
2011-07-31,ETANOL_HIDRATADO,33418,R$/l,1.932,0.238,1.440,2.990,0.254,0.123,1.678,0.211,1.129,2.459,0.126
2011-08-31,ETANOL_HIDRATADO,41151,R$/l,1.946,0.233,1.399,2.990,0.253,0.120,1.693,0.209,1.070,2.383,0.123
2011-09-30,ETANOL_HIDRATADO,33933,R$/l,2.006,0.213,1.529,3.099,0.255,0.106,1.751,0.192,1.270,2.482,0.110
2011-10-31,ETANOL_HIDRATADO,37361,R$/l,2.005,0.221,1.459,2.990,0.259,0.110,1.746,0.194,1.180,2.501,0.111
2011-11-30,ETANOL_HIDRATADO,37623,R$/l,2.030,0.211,1.499,2.990,0.236,0.104,1.794,0.184,1.270,2.531,0.103
2011-12-31,ETANOL_HIDRATADO,33485,R$/l,2.055,0.206,1.560,2.990,0.235,0.100,1.820,0.188,1.270,2.632,0.103
2012-01-31,ETANOL_HIDRATADO,39795,R$/l,2.034,0.220,1.490,2.990,0.263,0.108,1.771,0.211,1.280,2.666,0.119
2012-02-28,ETANOL_HIDRATADO,34510,R$/l,1.982,0.245,1.390,2.990,0.288,0.124,1.694,0.224,1.000,2.676,0.132
2012-03-31,ETANOL_HIDRATADO,33793,R$/l,1.997,0.235,1.300,2.999,0.264,0.118,1.733,0.203,1.246,2.684,0.117
2012-04-30,ETANOL_HIDRATADO,33731,R$/l,1.986,0.227,1.499,3.120,0.247,0.114,1.739,0.198,1.280,2.684,0.114
2012-05-31,ETANOL_HIDRATADO,40688,R$/l,1.967,0.240,1.399,3.120,0.261,0.122,1.706,0.226,1.195,2.691,0.132
2012-06-30,ETANOL_HIDRATADO,33049,R$/l,1.938,0.255,1.399,3.120,0.282,0.132,1.656,0.249,1.230,2.687,0.150
2012-07-31,ETANOL_HIDRATADO,37732,R$/l,1.909,0.267,1.299,3.120,0.287,0.140,1.622,0.253,1.241,2.661,0.156
2012-08-31,ETANOL_HIDRATADO,36455,R$/l,1.890,0.275,1.289,3.120,0.290,0.146,1.600,0.259,1.173,2.663,0.162
2012-09-30,ETANOL_HIDRATADO,32881,R$/l,1.888,0.273,1.289,3.120,0.282,0.145,1.606,0.245,1.173,2.667,0.153
2012-10-31,ETANOL_HIDRATADO,40179,R$/l,1.888,0.270,1.299,3.120,0.300,0.143,1.588,0.252,1.154,2.595,0.159
2012-11-30,ETANOL_HIDRATADO,33523,R$/l,1.896,0.268,1.299,3.120,0.302,0.141,1.594,0.244,1.147,2.433,0.153
2012-12-31,ETANOL_HIDRATADO,33947,R$/l,1.936,0.247,1.459,3.120,0.269,0.128,1.667,0.221,1.189,2.469,0.133
