MES,PRODUTO,NUMERO_DE_POSTOS_PESQUISADOS,UNIDADE_DE_MEDIDA,PRECO_MEDIO_REVENDA,DESVIO_PADRAO_REVENDA,PRECO_MINIMO_REVENDA,PRECO_MAXIMO_REVENDA,MARGEM_MEDIA_REVENDA,COEF_DE_VARIACAO_REVENDA,PRECO_MEDIO_DISTRIBUICAO,DESVIO_PADRAO_DISTRIBUICAO,PRECO_MINIMO_DISTRIBUICAO,PRECO_MAXIMO_DISTRIBUICAO,COEF_DE_VARIACAO_DISTRIBUICAO
15-01-2013,ETANOL_HIDRATADO,39584,R$/l,1.956,0.244,1.479,3.120,0.266,0.125,1.690,0.222,1.220,2.475,0.131
15-01-2013,GASOLINA_COMUM,41990,R$/l,2.763,0.148,2.229,3.899,0.386,0.054,2.377,0.109,2.080,2.895,0.046
15-01-2013,GLP,39597,R$/13kg,40.164,3.964,26.000,62.000,10.310,0.099,29.854,4.462,15.000,45.000,0.149
15-01-2013,GNV,2401,R$/m3,1.764,0.171,1.379,2.599,0.407,0.097,1.357,0.154,0.835,1.913,0.113
15-01-2013,DIESEL,32749,R$/l,2.156,0.114,1.869,2.950,0.230,0.053,1.926,0.080,1.398,2.570,0.042
15-01-2013,DIESEL_S10,4741,R$/l,2.235,0.108,1.990,2.950,0.245,0.048,1.990,0.073,1.800,2.470,0.037
15-02-2013,ETANOL_HIDRATADO,32571,R$/l,2.000,0.239,1.480,3.150,0.267,0.120,1.733,0.217,1.300,2.601,0.125
15-02-2013,GASOLINA_COMUM,34665,R$/l,2.887,0.146,2.390,3.899,0.424,0.051,2.463,0.106,2.095,2.965,0.043
15-02-2013,GLP,32171,R$/13kg,40.414,3.976,26.000,62.000,10.528,0.098,29.886,4.503,14.663,45.000,0.151
15-02-2013,GNV,2035,R$/m3,1.770,0.165,1.399,2.599,0.432,0.093,1.338,0.149,0.837,1.896,0.111
15-02-2013,DIESEL,26615,R$/l,2.252,0.114,1.949,2.980,0.263,0.051,1.989,0.086,1.475,2.570,0.043
15-02-2013,DIESEL_S10,6671,R$/l,2.330,0.116,2.059,3.050,0.267,0.050,2.063,0.086,1.796,2.554,0.042
15-03-2013,ETANOL_HIDRATADO,32591,R$/l,2.058,0.230,1.580,3.150,0.254,0.112,1.804,0.210,1.298,2.659,0.116
15-03-2013,GASOLINA_COMUM,34663,R$/l,2.886,0.148,2.440,3.939,0.401,0.051,2.485,0.104,2.125,2.944,0.042
15-03-2013,GLP,32061,R$/13kg,40.513,4.031,26.000,62.000,10.528,0.099,29.985,4.622,14.660,45.000,0.154
