DATE,VALUE
2018-04-30,1740303.65
2018-03-31,1723084.78
2018-02-28,1674257.61
2018-01-31,1670284.76
2017-12-31,1659452.61
2017-11-30,1645771.66
2017-10-31,1639000.5
2017-09-30,1650435.63
2017-08-31,1632434.07
2017-07-31,1566641.86
2017-06-30,1601721.6
2017-05-31,1598093.15
2017-04-30,1625898.33
2017-03-31,1612839.91
2017-02-28,1595761.0
2017-01-31,1572321.43
2016-12-31,1522847.89
2016-11-30,1350795.56
2016-10-31,1345915.41
2016-09-30,1337979.51
2016-08-31,1298964.2
2016-07-31,1318904.93
2016-06-30,1319527.95
2016-05-31,1304522.81
2016-04-30,1297562.81
2016-03-31,1289353.26
2016-02-29,1274461.01
2016-01-31,1266256.86
2015-12-31,1286515.35
2015-11-30,1219142.47
2015-10-31,1208329.31
2015-09-30,1213927.03
2015-08-31,1139645.08
2015-07-31,1111486.57
2015-06-30,1123410.95
2015-05-31,1112021.44
2015-04-30,1117913.65
2015-03-31,1124909.13
2015-02-28,1084796.51
2015-01-31,1066053.63
2014-12-31,1117440.24
2014-11-30,1036979.22
2014-10-31,1002117.29
2014-09-30,992138.95
2014-08-31,992013.13
2014-07-31,970900.59
2014-06-30,1000464.97
2014-05-31,991964.41
2014-04-30,986393.59
2014-03-31,978659.83
2014-02-28,969810.42
2014-01-31,957955.77
2013-12-31,958098.25
2013-11-30,950226.0
2013-10-31,938272.31
2013-09-30,930394.16
2013-08-31,915092.61
2013-07-31,914713.8
2013-06-30,919657.27
2013-05-31,922824.8
2013-04-30,926656.91
2013-03-31,920104.03
2013-02-28,895380.5
2013-01-31,893194.38
2012-12-31,906627.0
2012-11-30,886369.9
2012-10-31,863581.2
2012-09-30,866506.9
2012-08-31,858527.01
2012-07-31,841195.21
2012-06-30,857657.97
2012-05-31,848794.95
2012-04-30,842898.33
2012-03-31,807570.26
2012-02-29,854291.85
2012-01-31,791340.14
2011-12-31,751837.17
2011-11-30,749061.11
2011-10-31,739455.64
2011-09-30,723190.82
2011-08-31,711318.88
2011-07-31,701172.56
2011-06-30,713645.58
2011-05-31,717204.21
2011-04-30,718842.09
2011-03-31,706365.07
2011-02-28,704500.4
2011-01-31,698962.54
2010-12-31,703202.95
2010-11-30,694817.21
2010-10-31,691074.0
2010-09-30,684898.46
2010-08-31,668964.3
2010-07-31,677226.85
2010-06-30,679634.64
2010-05-31,673434.68
2010-04-30,661191.62
2010-03-31,665276.29
2010-02-28,603739.06
2010-01-31,600725.74
2009-12-31,637815.05
2009-11-30,549108.3
2009-10-31,547458.76
2009-09-30,530202.91
2009-08-31,494092.34
2009-07-31,490801.43
2009-06-30,499646.13
2009-05-31,475565.26
2009-04-30,474243.2
2009-03-31,482112.03
2009-02-28,465516.38
2009-01-31,462366.31
2008-12-31,494310.91
2008-11-30,412005.78
2008-10-31,410149.17
2008-09-30,406314.71
2008-08-31,402356.98
2008-07-31,398581.89
2008-06-30,423664.74
2008-05-31,367344.68
2008-04-30,362253.04
2008-03-31,362998.88
2008-02-29,356221.46
2008-01-31,354250.58
2007-12-31,359000.86
2007-11-30,353823.83
2007-10-31,351713.64
2007-09-30,318266.2
2007-08-31,315772.16
2007-07-31,310379.92
2007-06-30,312781.15
2007-05-31,312526.67
2007-04-30,299078.81
2007-03-31,305798.38
2007-02-28,309592.78
2007-01-31,298638.41
2006-12-31,297198.49
2006-11-30,292780.24
2006-10-31,292977.88
2006-09-30,294759.97
2006-08-31,282447.36
2006-07-31,287322.0
2006-06-30,296302.16
2006-05-31,268266.84
2006-04-30,287747.78
2006-03-31,301002.78
2006-02-28,296923.38
2006-01-31,294315.56
2005-12-31,279662.96
2005-11-30,312135.91
2005-10-31,310327.42
2005-09-30,311512.74
2005-08-31,307526.39
2005-07-31,304903.96
2005-06-30,304404.48
2005-05-31,300778.58
2005-04-30,296134.14
2005-03-31,296531.26
2005-02-28,295013.86
2005-01-31,301134.7
2004-12-31,302854.63
2004-11-30,299044.97
2004-10-31,300003.81
2004-09-30,299549.37
2004-08-31,300056.37
2004-07-31,299328.54
2004-06-30,301074.37
2004-05-31,292372.36
2004-04-30,284525.93
2004-03-31,289531.18
2004-02-29,285315.94
2004-01-31,279553.57
2003-12-31,276905.11
2003-11-30,306239.96
2003-10-31,310438.9
2003-09-30,313015.62
2003-08-31,303883.45
2003-07-31,302438.72
2003-06-30,298967.83
2003-05-31,298949.55
2003-04-30,293681.07
2003-03-31,301165.49
2003-02-28,303418.43
2003-01-31,297840.54
2002-12-31,282730.06
2002-11-30,278758.92
2002-10-31,275686.3
2002-09-30,275943.5
2002-08-31,249860.51
2002-07-31,240296.65
2002-06-30,219304.96
2002-05-31,208507.78
2002-04-30,200446.84
2002-03-31,196771.02
2002-02-28,194977.84
2002-01-31,192155.46
2001-12-31,189441.94
2001-11-30,188738.22
2001-10-31,190028.5
2001-09-30,175761.31
2001-08-31,168793.38
2001-07-31,165785.34
