DATE;27574 - COMMODITY INDEX - BRAZIL - INDEX;27575 - COMMODITY INDEX - BRAZIL - AGRICULTURE - INDEX;27576 - COMMODITY INDEX - BRAZIL - METAL - INDEX;27577 - COMMODITY INDEX - BRAZIL - ENERGY - INDEX
01/1998;39.19 ;46.84 ;30.66 ;18.63
02/1998;38.98 ;46.62 ;30.64 ;18.25
03/1998;38.16 ;45.40 ;30.70 ;18.11
04/1998;38.10 ;44.87 ;30.92 ;19.57
05/1998;38.21 ;45.28 ;30.18 ;19.34
06/1998;36.67 ;43.31 ;29.57 ;18.48
07/1998;36.11 ;42.52 ;29.76 ;18.03
08/1998;35.77 ;42.09 ;29.85 ;17.64
09/1998;35.21 ;41.03 ;29.79 ;18.53
10/1998;35.70 ;41.88 ;29.12 ;18.75
11/1998;35.75 ;42.29 ;28.93 ;17.66
12/1998;34.84 ;41.29 ;28.44 ;16.76
01/1999;43.05 ;51.13 ;34.58 ;20.76
02/1999;53.12 ;62.55 ;44.54 ;25.85
03/1999;51.53 ;59.65 ;44.09 ;28.32
04/1999;45.50 ;51.82 ;40.68 ;26.81
05/1999;45.16 ;51.53 ;41.40 ;25.35
06/1999;47.38 ;54.19 ;42.50 ;26.94
07/1999;46.72 ;52.24 ;45.15 ;28.06
08/1999;50.59 ;56.60 ;48.13 ;30.91
09/1999;52.19 ;58.22 ;49.99 ;32.16
10/1999;54.73 ;61.29 ;51.66 ;33.51
11/1999;54.35 ;61.16 ;50.90 ;32.45
12/1999;51.87 ;58.06 ;50.20 ;30.60
01/2000;51.41 ;57.22 ;51.53 ;29.87
02/2000;50.22 ;55.61 ;50.04 ;30.55
03/2000;49.51 ;55.12 ;47.55 ;30.74
04/2000;50.31 ;56.73 ;46.29 ;30.52
05/2000;53.18 ;59.72 ;47.98 ;34.12
06/2000;53.55 ;59.81 ;47.83 ;36.13
07/2000;53.56 ;59.82 ;48.43 ;35.51
08/2000;53.82 ;59.81 ;48.27 ;37.21
09/2000;55.32 ;60.65 ;50.64 ;40.57
10/2000;57.10 ;63.24 ;49.45 ;41.96
11/2000;59.02 ;65.09 ;50.11 ;45.32
12/2000;60.89 ;66.36 ;52.04 ;49.42
01/2001;60.81 ;66.68 ;52.43 ;47.13
02/2001;61.36 ;67.54 ;54.00 ;45.45
03/2001;61.26 ;67.03 ;53.94 ;46.77
04/2001;63.21 ;68.72 ;55.80 ;49.77
05/2001;66.07 ;72.17 ;59.10 ;49.99
06/2001;68.09 ;75.06 ;59.30 ;50.47
07/2001;69.56 ;77.52 ;59.71 ;49.33
08/2001;69.23 ;75.88 ;59.54 ;53.41
09/2001;69.58 ;77.20 ;61.84 ;48.18
10/2001;67.82 ;74.76 ;62.13 ;46.94
11/2001;64.33 ;72.06 ;59.06 ;40.25
