MES,PRODUTO,NUMERO_DE_POSTOS_PESQUISADOS,UNIDADE_DE_MEDIDA,PRECO_MEDIO_REVENDA,DESVIO_PADRAO_REVENDA,PRECO_MINIMO_REVENDA,PRECO_MAXIMO_REVENDA,MARGEM_MEDIA_REVENDA,COEF_DE_VARIACAO_REVENDA,PRECO_MEDIO_DISTRIBUICAO,DESVIO_PADRAO_DISTRIBUICAO,PRECO_MINIMO_DISTRIBUICAO,PRECO_MAXIMO_DISTRIBUICAO,COEF_DE_VARIACAO_DISTRIBUICAO,PRECO_MEDIO_REVENDA_DEFLACIONADO
1,2001-07-31,GASOLINA,18708,R$/l,1.681,0.099,1.379,2,0.214,0.059,1.467,0.076,0.895,1.791,0.052,5.54561403508772
2,2001-08-31,GASOLINA,29950,R$/l,1.711,0.092,1.44,2.38,0.207,0.054,1.504,0.052,1.023,1.75,0.034,5.30830245614035
3,2001-09-30,GASOLINA,34530,R$/l,1.718,0.1,1.43,2.38,0.214,0.058,1.504,0.054,1.009,1.821,0.036,5.28842596491228
4,2001-10-31,GASOLINA,44072,R$/l,1.779,0.105,1.41,2.48,0.242,0.059,1.537,0.062,1.023,1.868,0.041,5.46652368421053
5,2001-11-30,GASOLINA,36267,R$/l,1.78,0.106,1.44,2.45,0.229,0.059,1.552,0.061,1.08,1.91,0.039,5.43274736842105
6,2001-12-31,GASOLINA,40362,R$/l,1.775,0.107,1.38,2.45,0.229,0.06,1.546,0.061,1.071,1.895,0.04,5.38323245614035
7,2002-01-31,GASOLINA,43470,R$/l,1.588,0.124,1.17,2.45,0.223,0.078,1.365,0.097,0.69,1.818,0.071,4.80996842105263
8,2002-02-28,GASOLINA,38348,R$/l,1.509,0.1,1.17,2.45,0.213,0.066,1.296,0.053,0.829,1.697,0.041,4.56115105263158
9,2002-03-31,GASOLINA,38410,R$/l,1.574,0.115,1.239,2.45,0.251,0.073,1.323,0.066,0.833,1.774,0.05,4.7559652631579
10,2002-04-30,GASOLINA,47414,R$/l,1.713,0.113,1.36,2.67,0.266,0.066,1.447,0.078,0.835,1.806,0.054,5.17326
11,2002-05-31,GASOLINA,49569,R$/l,1.722,0.106,1.37,2.67,0.238,0.061,1.484,0.059,0.972,1.806,0.04,5.18352210526316
12,2002-06-30,GASOLINA,38863,R$/l,1.711,0.109,1.369,2.67,0.236,0.064,1.475,0.057,0.909,1.852,0.039,5.12549561403509
13,2002-07-31,GASOLINA,57752,R$/l,1.767,0.124,1.309,2.67,0.257,0.07,1.51,0.069,0.934,1.884,0.046,5.24551
14,2002-08-31,GASOLINA,46852,R$/l,1.751,0.119,1.39,2.47,0.239,0.068,1.512,0.065,0.971,1.843,0.043,5.1381098245614
15,2002-09-30,GASOLINA,39964,R$/l,1.742,0.118,1.37,2.45,0.23,0.068,1.512,0.065,0.962,1.961,0.043,5.04079789473684
16,2002-10-31,GASOLINA,41545,R$/l,1.761,0.109,1.35,2.45,0.233,0.062,1.528,0.065,0.984,1.84,0.043,5.02163052631579
17,2002-11-30,GASOLINA,36226,R$/l,1.978,0.113,1.49,2.74,0.299,0.057,1.678,0.104,1.05,2.497,0.062,5.50612736842105
18,2002-12-31,GASOLINA,44705,R$/l,2.001,0.14,1.59,2.95,0.293,0.07,1.708,0.081,1.149,2.209,0.047,5.38795578947368
19,2003-01-31,GASOLINA,36694,R$/l,2.16,0.136,1.699,2.95,0.304,0.063,1.856,0.102,1.18,2.391,0.055,5.67397894736842
20,2003-02-28,GASOLINA,36200,R$/l,2.223,0.143,1.739,2.95,0.296,0.064,1.927,0.099,1.261,2.482,0.051,5.7486
21,2003-03-31,GASOLINA,39311,R$/l,2.215,0.143,1.79,2.95,0.268,0.065,1.947,0.087,1.31,2.394,0.045,5.63931228070175
22,2003-04-30,GASOLINA,42127,R$/l,2.195,0.149,1.72,2.95,0.255,0.068,1.941,0.085,1.262,2.35,0.044,5.52947456140351
23,2003-05-31,GASOLINA,36221,R$/l,2.113,0.136,1.749,2.85,0.245,0.064,1.869,0.08,1.24,2.321,0.043,5.28880192982456
24,2003-06-30,GASOLINA,40291,R$/l,2.026,0.143,1.669,2.86,0.238,0.071,1.788,0.085,1.153,2.227,0.047,5.08028385964912
25,2003-07-31,GASOLINA,41828,R$/l,1.971,0.138,1.62,2.85,0.237,0.07,1.734,0.079,1.17,2.27,0.045,4.97694789473684
26,2003-08-31,GASOLINA,35935,R$/l,1.975,0.132,1.63,2.85,0.24,0.067,1.735,0.077,1.158,2.137,0.044,5.00160087719298
27,2003-09-30,GASOLINA,43291,R$/l,2.003,0.127,1.64,2.85,0.247,0.063,1.757,0.073,1.158,2.22,0.042,5.05915631578947
28,2003-10-31,GASOLINA,37608,R$/l,1.997,0.128,1.62,2.85,0.243,0.064,1.755,0.069,1.19,2.39,0.039,5.0026601754386
29,2003-11-30,GASOLINA,35911,R$/l,1.993,0.128,1.62,2.85,0.246,0.064,1.747,0.069,1.51,2.125,0.039,4.97935315789474
30,2003-12-31,GASOLINA,44759,R$/l,1.998,0.125,1.61,2.85,0.246,0.063,1.753,0.07,1.451,2.149,0.04,4.97466947368421
31,2004-01-31,GASOLINA,35766,R$/l,2.007,0.126,1.61,2.85,0.246,0.063,1.761,0.07,1.52,2.149,0.039,4.97559947368421
32,2004-02-29,GASOLINA,35740,R$/l,2.003,0.131,1.61,2.85,0.254,0.065,1.749,0.075,1.49,2.158,0.043,4.93475947368421
33,2004-03-31,GASOLINA,44631,R$/l,1.981,0.139,1.559,2.85,0.264,0.07,1.717,0.08,1.4,2.328,0.046,4.85657789473684
34,2004-04-30,GASOLINA,35862,R$/l,1.972,0.14,1.56,2.85,0.263,0.071,1.709,0.08,1.37,2.188,0.047,4.79541964912281
35,2004-05-31,GASOLINA,43335,R$/l,2.086,0.143,1.529,2.85,0.33,0.069,1.756,0.08,1.146,2.214,0.046,5.02835789473684
36,2004-06-30,GASOLINA,56676,R$/l,2.157,0.148,1.56,2.89,0.347,0.069,1.81,0.088,1.17,2.735,0.049,5.14993210526316
37,2004-07-31,GASOLINA,50174,R$/l,2.203,0.14,1.59,3,0.341,0.064,1.862,0.074,1.477,2.473,0.04,5.20642333333333
38,2004-08-31,GASOLINA,60595,R$/l,2.226,0.139,1.69,3,0.337,0.062,1.889,0.075,1.325,2.258,0.04,5.20962105263158
39,2004-09-30,GASOLINA,52104,R$/l,2.232,0.143,1.69,3,0.333,0.064,1.899,0.076,1.45,2.279,0.04,5.17589052631579
40,2004-10-31,GASOLINA,49917,R$/l,2.262,0.145,1.69,3.1,0.339,0.064,1.923,0.08,1.475,2.325,0.042,5.21807684210526
41,2004-11-30,GASOLINA,59375,R$/l,2.214,0.148,1.709,3.1,0.276,0.067,1.938,0.084,1.53,2.551,0.043,5.0922
42,2004-12-31,GASOLINA,52358,R$/l,2.303,0.146,1.849,3.1,0.296,0.063,2.007,0.081,1.518,2.51,0.04,5.26376912280702
