DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME
1996-11-01,3.870892,3.900441,3.558774,3.776702,0.018614,7730900
1996-12-01,3.782246,4.136831,3.545855,4.048185,0.019952,14612300
1997-01-01,3.946608,5.113785,3.900441,4.964197,0.024467,31003800
1997-02-01,4.978972,5.643820,4.727807,4.779517,0.023557,29369800
1997-03-01,4.875551,5.584722,4.742581,4.860776,0.023957,30187800
1997-04-01,4.875551,5.466527,4.816453,5.376025,0.026497,23913000
1997-05-01,5.407429,5.466527,4.978972,5.377881,0.026506,47212400
1997-06-01,5.597641,6.412088,5.466527,6.101826,0.030074,47045200
1997-07-01,6.160923,7.121259,5.569948,6.678027,0.032914,30655700
1997-08-01,6.412088,6.648479,5.289234,5.289234,0.026069,26558500
1997-09-01,5.082393,6.589381,4.993746,6.528428,0.032176,42496600
1997-10-01,6.559832,6.801754,4.328898,4.786905,0.023593,32611900
1997-11-01,5.080537,5.821112,3.708374,5.701062,0.028099,33668600
1997-12-01,5.762015,5.776789,3.560630,5.097167,0.025122,28126800
1998-01-01,5.289234,5.525624,3.959538,4.689015,0.023111,18342100
1998-02-01,4.727807,5.392655,4.639161,5.082393,0.025049,17484000
1998-03-01,5.200588,6.087051,5.052844,5.769402,0.028436,13449000
1998-04-01,5.821112,6.116601,5.614271,5.702917,0.028108,16261500
1998-05-01,5.791564,6.978660,3.778601,4.700652,0.023168,721200
1998-06-01,4.592175,4.989923,3.868998,4.447540,0.028128,15183100
1998-07-01,4.592175,5.785418,4.266746,5.044161,0.031901,31137600
1998-08-01,4.845287,5.008002,2.531120,2.754842,0.017423,24114400
1998-09-01,3.019265,3.579727,1.699466,3.127741,0.019781,33412100
1998-10-01,2.820391,3.435091,2.458802,2.784232,0.027687,29250700
1998-11-01,2.892709,3.941316,2.748073,3.724362,0.045597,63946500
1998-12-01,3.525489,3.579727,2.567279,2.639597,0.032316,112313100
1999-01-01,2.675756,2.838470,1.554831,1.844102,0.025593,56997100
1999-02-01,2.024896,2.284777,1.789863,1.880261,0.026095,14451800
1999-03-01,1.932228,3.326615,1.771784,3.308536,0.045917,15865900
1999-04-01,3.218138,3.832839,3.010225,3.417012,0.047423,71740100
1999-05-01,3.507409,3.832839,2.766153,3.109662,0.052448,13891300
1999-06-01,2.965026,3.407972,2.820391,3.010225,0.050771,25400100
1999-07-01,3.127741,3.236218,2.257658,2.567279,0.043300,21682400
1999-08-01,2.393254,2.513041,2.079134,2.207947,0.037240,9956700
1999-09-01,2.278008,2.585358,2.133373,2.133373,0.035982,22121600
1999-10-01,2.079134,2.298344,1.934499,2.076864,0.035029,29250000
1999-11-01,2.042975,2.822647,2.024896,2.714171,0.045778,22654900
1999-12-01,2.711914,3.254297,2.476882,3.254297,0.054887,25834400
2000-01-01,3.109662,3.209099,2.440723,2.494961,0.054229,26179700
2000-02-01,2.531120,2.820391,2.377445,2.404564,0.052264,39927800
2000-03-01,2.404564,2.711914,2.259929,2.549200,0.055408,38400500
2000-04-01,2.433939,2.458802,1.841831,2.250889,0.048924,18765800
2000-05-01,2.241849,2.350326,1.934499,2.268968,0.053876,9038900
2000-06-01,2.259929,2.711914,2.205690,2.585358,0.061389,7419800
2000-07-01,2.594398,2.892709,2.476882,2.750329,0.065306,11549700
2000-08-01,2.748073,2.910788,2.531120,2.637326,0.067067,12063500
2000-09-01,2.711914,2.748073,2.314167,2.404564,0.061148,5213500
2000-10-01,2.440723,2.531120,1.855398,2.151452,0.054711,11157300
2000-11-01,2.146925,2.223770,1.807943,1.807943,0.045976,12138900
2000-12-01,1.862181,2.278008,1.769513,2.115293,0.053792,4301200
2001-01-01,2.061055,2.696091,2.042975,2.603438,0.066205,24392700
2001-02-01,2.504001,2.576319,2.169532,2.169532,0.055171,12392100
2001-03-01,2.189867,2.368405,1.708506,1.857654,0.047240,32122400
2001-04-01,1.706235,1.862904,1.547599,1.682110,0.042776,12059000
2001-05-01,1.682110,1.735625,1.293041,1.352341,0.034390,26117100
2001-06-01,1.417427,1.757321,1.287255,1.692235,0.043033,15055200
2001-07-01,1.686449,1.686449,1.402964,1.576526,0.040091,9507500
2001-08-01,1.504209,1.696574,1.431891,1.521565,0.038693,3044500
2001-09-01,1.482513,1.663308,1.207706,1.381268,0.035125,6394800
2001-10-01,1.374037,1.475281,1.186011,1.446354,0.036781,18477700
2001-11-01,1.457925,1.923651,1.444908,1.844102,0.046895,16889300
2001-12-01,1.842655,2.199905,1.750089,2.095767,0.053295,23712000
2002-01-01,2.140604,2.291025,1.807943,2.140604,0.054435,19071500
2002-02-01,2.075519,2.285240,1.945347,2.241849,0.064083,22088900
2002-03-01,2.241849,2.424090,2.058162,2.155068,0.061602,17758300
2002-04-01,2.126141,2.386485,2.111677,2.183995,0.062429,16984000
2002-05-01,2.179656,2.183995,1.793479,1.916420,0.062811,11225600
2002-06-01,1.887492,1.894724,1.423213,1.625702,0.061332,9929600
2002-07-01,1.598222,1.634380,1.070302,1.102122,0.041579,10591800
2002-08-01,1.120925,1.482513,1.000877,1.301719,0.049110,19450100
2002-09-01,1.272792,1.272792,0.717392,0.773800,0.029193,11088400
2002-10-01,0.782478,1.003770,0.694250,0.983521,0.037105,11695000
2002-11-01,0.995092,1.054392,0.869259,0.928559,0.035031,9513500
2002-12-01,0.969057,1.164315,0.831654,1.060178,0.039997,8421700
2003-01-01,1.084766,1.301719,0.941577,1.026912,0.045137,24069800
2003-02-01,1.029804,1.071749,0.867813,0.908311,0.039924,10477800
2003-03-01,0.916989,1.126710,0.893847,1.077534,0.047362,22357100
2003-04-01,1.099229,1.546153,1.099229,1.533136,0.067388,22740800
2003-05-01,1.518672,1.663308,1.400071,1.473835,0.064781,42942600
2003-06-01,1.462264,1.583758,1.311843,1.334985,0.058678,19079700
2003-07-01,1.326307,1.453586,1.288702,1.300273,0.057153,12283600
2003-08-01,1.294487,1.585204,1.188903,1.583758,0.069613,23076800
2003-09-01,1.608346,1.939561,1.604007,1.709591,0.075144,38434500
2003-10-01,1.747196,2.165192,1.742857,2.117463,0.093072,38145600
2003-11-01,2.181102,2.306935,1.965596,2.301150,0.101145,16125800
2003-12-01,2.311274,2.669970,2.220154,2.661292,0.116975,24883100
2004-01-01,2.662738,2.891262,2.369128,2.422644,0.124894,35112700
2004-02-01,2.379253,2.668524,2.166639,2.557154,0.143055,27827500
2004-03-01,2.617901,2.748073,2.379253,2.523888,0.141194,27159400
2004-04-01,2.603438,2.801588,2.202798,2.228832,0.124688,38312600
2004-05-01,2.263545,2.301150,1.632934,2.033574,0.113764,34866500
2004-06-01,1.988737,2.198459,1.875922,2.172424,0.129494,23403500
2004-07-01,2.186888,2.684434,2.183995,2.655507,0.187693,17814000
2004-08-01,2.587528,2.856550,2.314167,2.681541,0.189533,19252300
2004-09-01,2.697451,3.082181,2.389377,3.073503,0.217237,23381300
2004-10-01,3.098091,3.446662,2.986722,3.343971,0.254775,22254900
2004-11-01,3.319383,3.403272,3.080735,3.346864,0.254996,16726700
2004-12-01,3.388808,3.686757,3.059039,3.549354,0.270423,31669100
2005-01-01,3.578281,3.585512,2.840640,3.225370,0.271921,28579800
2005-02-01,3.210907,3.805358,3.073503,3.738826,0.322895,16253100
2005-03-01,3.688204,3.688204,3.037344,3.300581,0.285047,25909300
2005-04-01,3.435091,4.330385,3.303473,4.003509,0.345753,45852000
2005-05-01,4.057024,4.518411,3.814036,4.372329,0.377606,28639500
2005-06-01,4.370883,4.655815,3.964457,4.606638,0.446851,31080200
2005-07-01,4.678957,4.757060,4.164054,4.694866,0.455409,41728200
2005-08-01,4.771523,5.470112,4.563248,5.108523,0.599052,41149100
2005-09-01,5.060794,5.684173,4.979798,5.507718,0.645864,26231700
2005-10-01,5.507718,5.707314,4.833716,5.264730,0.617370,34789100
