DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME
2000-08-01,6.312500,8.250000,6.125000,7.953120,0.025173,260878400
2000-09-01,7.921880,8.515620,7.000000,7.515620,0.023788,92168000
2000-10-01,7.515620,8.203120,6.500000,7.265620,0.022997,83372800
2000-11-01,7.187500,7.468750,6.390620,6.437500,0.020376,54798000
2000-12-01,6.296880,6.671880,6.000000,6.312500,0.019980,78294000
2001-01-01,6.406250,7.625000,6.375000,7.070000,0.022378,79737200
2001-02-01,6.987500,7.550000,6.750000,7.132500,0.022575,53988800
2001-03-01,7.070000,7.412500,5.575000,5.950000,0.018833,132052400
2001-04-01,5.925000,6.875000,5.675000,6.750000,0.057982,99366800
2001-05-01,6.725000,7.112500,6.450000,7.075000,0.060774,62896800
2001-06-01,7.150000,7.475000,6.350000,6.500000,0.055835,75381200
2001-07-01,6.450000,6.487500,5.375000,5.892500,0.050616,83530400
2001-08-01,5.900000,5.925000,5.237500,5.625000,0.062730,44318800
2001-09-01,5.612500,5.977500,4.502500,4.937500,0.055746,48070400
2001-10-01,4.862500,5.260000,4.550000,5.000000,0.056451,49502800
2001-11-01,5.000000,5.600000,4.550000,5.062500,0.057157,61207600
2001-12-01,5.150000,5.825000,5.030000,5.825000,0.065766,42098000
2002-01-01,5.825000,5.937500,4.970000,5.237500,0.059133,67052800
2002-02-01,5.162500,6.210000,4.937500,6.125000,0.069153,75252400
2002-03-01,6.212500,6.837500,6.202500,6.617500,0.074713,93458000
2002-04-01,6.725000,6.855000,6.087500,6.150000,0.133795,83712800
2002-05-01,6.162500,6.187500,5.375000,5.952500,0.129498,100608000
2002-06-01,5.915000,5.915000,3.912500,4.715000,0.102576,133353600
2002-07-01,4.690000,4.717500,3.050000,3.300000,0.071792,93035200
2002-08-01,3.300000,4.335000,3.242500,3.987500,0.086749,119994000
2002-09-01,3.975000,4.312500,2.335000,2.682500,0.058358,116353600
2002-10-01,2.737500,3.370000,2.380000,3.307500,0.071955,179431600
2002-11-01,3.292500,3.600000,3.050000,3.275000,0.071248,72720400
2002-12-01,3.362500,4.062500,3.145000,3.735000,0.120372,98155200
2003-01-01,3.782500,4.487500,3.337500,3.707500,0.119486,105383200
2003-02-01,3.732500,3.792500,3.210000,3.342500,0.107722,68724400
2003-03-01,3.392500,3.997500,3.225000,3.787500,0.122064,91124800
2003-04-01,3.840000,4.687500,3.840000,4.637500,0.300666,111718000
