DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME
2002-03-01,2.250000,2.312500,2.160833,2.282500,0.216927,76308000
2002-04-01,2.283333,2.375000,2.171667,2.274167,0.216135,109744800
2002-05-01,2.266667,2.533333,2.250000,2.500000,0.237598,105967200
2002-06-01,2.500000,2.525000,2.125000,2.305833,0.219145,145430400
2002-07-01,2.300000,2.305000,1.845833,2.041667,0.194039,99675600
2002-08-01,2.058333,2.191667,1.987500,2.133333,0.202751,49987200
2002-09-01,2.037500,2.175000,1.833333,1.895833,0.180179,50320800
2002-10-01,1.904167,2.195833,1.804167,2.195833,0.208691,75826800
2002-11-01,2.187500,2.345833,2.045833,2.248333,0.213680,55614000
2002-12-01,2.270833,2.461667,2.242500,2.409167,0.351790,44401200
2003-01-01,2.416667,2.454167,2.126667,2.304167,0.336458,88113600
2003-02-01,2.325000,2.445833,2.250000,2.416667,0.352885,89554800
2003-03-01,2.416667,2.475000,2.239167,2.245833,0.327940,116751600
2003-04-01,2.250000,2.416667,2.225000,2.330000,0.340230,87854400
2003-05-01,2.337500,2.523333,2.312500,2.500000,0.470454,60208800
2003-06-01,2.500000,2.575833,2.433333,2.471667,0.465123,53262000
2003-07-01,2.479167,2.906667,2.470000,2.902500,0.546198,91894800
2003-08-01,2.894167,3.312500,2.754167,3.120833,0.587284,124150800
2003-09-01,3.145833,3.508333,3.145833,3.401667,0.813456,107643600
2003-10-01,3.408333,3.995833,3.408333,3.812500,0.911700,141470400
2003-11-01,3.816667,3.915833,3.475000,3.649167,1.003941,127561200
2003-12-01,3.683333,4.990000,3.683333,4.875000,1.341186,189034800
2004-01-01,4.895833,5.291667,4.432500,4.472500,1.230452,165458400
2004-02-01,4.477500,5.151667,4.450000,4.825000,1.327431,151384800
2004-03-01,4.929167,5.083333,4.139167,4.575000,1.258652,207877200
2004-04-01,4.575000,4.761667,3.729167,3.791667,1.043145,190585200
2004-05-01,3.666667,4.347500,3.441667,4.225000,1.718774,240420000
2004-06-01,4.187500,4.328333,3.629167,3.962500,1.611986,197948400
2004-07-01,3.979167,4.641667,3.850000,4.491667,1.827257,171924000
2004-08-01,4.433333,4.918334,4.250000,4.814167,1.958453,126450000
2004-09-01,4.787500,5.687500,4.733333,5.617500,3.213542,162960000
2004-10-01,5.687500,6.000000,5.060000,5.290000,3.026192,167477600
2004-11-01,5.325000,6.270000,5.227500,6.205000,3.699006,154344400
2004-12-01,6.312500,7.312500,5.832500,7.252500,4.323456,145888400
2005-01-01,7.287500,7.785000,6.357500,7.562500,4.508256,206143200
2005-02-01,7.565000,9.140000,7.197500,8.750000,5.216165,242218400
2005-03-01,8.752500,9.152500,7.395000,7.902500,4.710943,302086400
2005-04-01,8.237500,8.250000,6.532500,6.737500,4.016448,248856400
2005-05-01,6.787500,7.485000,6.255000,7.257500,4.615197,192286400
2005-06-01,7.175000,7.797500,6.775000,7.320000,4.654943,221362800
2005-07-01,7.420000,8.312500,7.275000,8.140000,5.176397,182228000
2005-08-01,8.240000,9.107500,8.057500,8.597500,5.467330,238629200
2005-09-01,8.662500,11.230000,8.575000,10.965000,6.972875,230176000
2005-10-01,10.920000,11.077500,9.175000,10.332500,6.570655,282753200
2005-11-01,10.537500,11.325000,10.137500,10.840000,7.409925,195884800
2005-12-01,10.892500,11.487500,9.875000,10.285000,7.030540,194073600
2006-01-01,10.525000,12.897500,10.395000,12.817500,8.761688,296641200
2006-02-01,12.750000,12.772500,11.342500,11.607500,7.934565,254699200
2006-03-01,11.635000,12.240000,10.465000,12.132500,8.293441,344121200
2006-04-01,12.487500,13.225000,11.700000,12.880000,8.804413,216953200
2006-05-01,12.997500,14.550000,10.527500,11.647500,8.331763,488868000
2006-06-01,11.502500,12.100000,9.815000,12.020000,8.598222,384675200
2006-07-01,12.080000,12.270000,10.625000,11.600000,8.297786,216256200
2006-08-01,11.545000,12.230000,10.245000,10.720000,7.668298,333484000
2006-09-01,10.750000,11.460000,9.580000,10.780000,7.711219,263148800
2006-10-01,10.935000,12.960000,10.340000,12.720000,9.098952,322526400
2006-11-01,13.000000,14.145000,12.725000,13.880000,10.144630,272368200
2006-12-01,13.975000,15.230000,13.500000,14.870000,10.868202,225997800
2007-01-01,15.070000,17.000000,13.530000,16.965000,12.399398,357110000
2007-02-01,17.165001,19.025000,15.790000,17.049999,12.461523,353828200
2007-03-01,16.385000,21.959999,15.565000,18.495001,13.517646,481452600
2007-04-01,18.549999,21.395000,18.434999,20.305000,14.840537,324205000
2007-05-01,20.580000,22.889999,19.920000,22.725000,16.882620,421956400
2007-06-01,22.969999,23.855000,21.270000,22.275000,16.548307,469723400
2007-07-01,22.500000,26.590000,22.500000,24.504999,18.205000,506987600
2007-08-01,24.100000,25.000000,17.000000,24.665001,18.323868,834169200
2007-09-01,24.650000,34.610001,24.375000,33.930000,25.206921,448142400
2007-10-01,34.430000,38.290001,31.000000,37.680000,27.992828,609243300
